TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],Ref (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
2000,1728545,4053140,119210,7450625,953680,2741830,-3039855,-655655,4828005,596050,1192100,3039855,655655,2563015,-1847755,1847755,3635905,1192100,3933930,3576300,2861040,2622620,2563015,3755115,1132495,-6437340,1192100,3516695,357630,-119210,2741830,2205385,596050,-417235,3397485,1490125,-238420,2145780,2145780,4231955,59605,1966965,834470,-536445,1132495,2026570,-1728545,476840,298025,-357630,596050,-59605,2324595,1132495,2205385,-715260,2264990,953680,-238420,1490125
2100,-178815,119210,1370915,1490125,1788150,2861040,-59605,-3218670,1966965,1966965,1132495,5543265,1788150,4351165,-1072890,2205385,4351165,1430520,-238420,2145780,59605,715260,2920645,119210,2801435,-10550085,1370915,-894075,2026570,2980250,2145780,1132495,894075,-834470,2503410,1788150,2145780,2443805,3576300,-476840,417235,1311310,238420,-1370915,1549730,1072890,-238420,-894075,1251705,3039855,-476840,1490125,1966965,298025,1251705,3695510,1490125,655655,1609335,3099460
2200,2086175,3397485,3755115,-1728545,1847755,2086175,2801435,11921000,2682225,1430520,4768400,2741830,4947215,3755115,-357630,2264990,2801435,1370915,1668940,953680,3457090,2384200,2503410,3933930,2384200,-7391020,1549730,3814720,2622620,-119210,1788150,357630,1907360,2324595,3397485,6198920,834470,1132495,1907360,2324595,1549730,2741830,1370915,1132495,536445,2384200,4291560,-119210,3516695,596050,298025,2682225,2324595,2086175,1490125,4828005,4172350,3337880,2563015,3099460
2300,1490125,1013285,2563015,1847755,417235,3218670,2563015,11146135,3814720,1013285,3337880,-2443805,4053140,2920645,-357630,3159065,-1072890,-2443805,1132495,178815,-1192100,2443805,4351165,3218670,2145780,-13530335,1549730,1966965,1072890,-774865,715260,1668940,-2324595,3695510,-119210,1668940,2801435,3278275,715260,2980250,59605,1132495,2205385,1072890,-476840,1728545,3993535,476840,2205385,2741830,-119210,2145780,1430520,4351165,1490125,2682225,476840,1788150,1132495,1251705
2400,1966965,-119210,357630,596050,-1966965,1430520,-1251705,7808255,3457090,1370915,-417235,-2384200,4828005,1370915,-178815,3039855,357630,-238420,-178815,0,-238420,953680,1430520,476840,3039855,-3278275,2205385,1132495,1966965,774865,1311310,1668940,1788150,1788150,-59605,3576300,894075,1907360,834470,596050,1192100,-298025,2622620,476840,2205385,1668940,1430520,1668940,-536445,2145780,-536445,1132495,2682225,3218670,178815,1907360,1609335,1311310,774865,-1072890
2500,5126030,3397485,3278275,-4231955,2145780,5900895,5364450,5602870,4351165,3695510,5662475,3993535,5185635,5662475,536445,2384200,5781685,4708795,834470,1788150,6198920,4828005,6258525,4768400,3635905,5304845,5304845,2145780,6139315,3695510,7212205,3457090,6318130,5722080,3516695,5602870,6139315,2861040,4470375,6198920,3635905,3278275,4708795,3039855,5841290,3516695,5245240,6437340,3337880,7510230,4351165,3993535,4887610,4351165,5722080,5424055,4828005,4529980,5543265,4351165
2600,-834470,-2861040,-2324595,-298025,-1549730,0,-1132495,-13470730,-2980250,-2443805,-1013285,-3159065,-2205385,-2324595,-1072890,-3516695,-953680,894075,-1430520,-4053140,1013285,-1668940,357630,476840,-894075,-7271810,-2980250,-2086175,-1311310,-1788150,2861040,-774865,774865,-1788150,-1192100,-1192100,1072890,-1132495,-2205385,-1013285,-2145780,-1847755,-536445,-1251705,-1132495,-417235,-3457090,-1013285,-2324595,119210,-1072890,-1132495,-774865,-596050,-178815,-1490125,-834470,536445,1728545,-834470
2700,-24140025,-22888320,-21338590,-35882210,-23067135,-18835180,-21278985,-47922420,-21100170,-20980960,-19967675,-22053850,-19550440,-23484370,178815,-20623330,-22649900,-18119920,-20146490,-22292270,-25034100,-21636615,-22590295,-20742540,-17762290,-46372690,-23245950,-20444515,-21755825,-20980960,-18417945,-20742540,-22411480,-18239130,-21636615,-22173060,-22530690,-19729255,-20384910,-19908070,-21398195,-19431230,-20325305,-21815430,-20027280,-22232665,-22888320,-22113455,-20742540,-22471085,-19252415,-20444515,-19669650,-18596760,-20742540,-21815430,-20325305,-18835180,-20742540,-20742540
2800,-6973785,-5126030,-7092995,-13530335,-6794970,-6258525,-4053140,-23305555,-4947215,-4589585,-3337880,-5304845,-2324595,-6616155,298025,-3218670,-3039855,-2324595,-5245240,-7987070,-7033390,-3516695,-3874325,-2264990,-2741830,-44822960,-4112745,-4053140,-5841290,-5841290,-2145780,-4410770,-5304845,-2622620,-5543265,-4708795,-6318130,298025,-5185635,-5006820,-9477195,-7510230,-3397485,-7092995,-5781685,-4291560,-5602870,-4470375,-2145780,-6020105,-3516695,-4708795,-4291560,-4291560,-3695510,-5006820,-3993535,-5543265,-2980250,-5424055
2900,-178815,655655,1013285,-6854575,-357630,-1549730,715260,-5424055,-1370915,-2622620,1907360,-357630,2920645,1072890,953680,1013285,1728545,119210,-357630,-1907360,-655655,-3099460,-178815,1490125,596050,-28550795,536445,2861040,119210,298025,-238420,357630,357630,6377735,59605,1430520,59605,4470375,3516695,1251705,-4351165,-1370915,894075,-834470,-596050,476840,-1907360,-1251705,-894075,2384200,357630,1370915,1311310,1430520,-1311310,1907360,-774865,-834470,0,-894075
